exchange,vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage,listDate,activeDate
SHFE,CU888,5,10,0.00005,0,10,199303,200311
SHFE,AL888,5,5,0,3,5,199205,201511
SHFE,ZN888,5,5,0,3,5,200703,201407
SHFE,PB888,5,5,0.00004,0,5,201103,201611
SHFE,NI888,1,10,0,1,10,201503,201503
SHFE,SN888,1,10,0,1,10,201503,201601
SHFE,AU888,1000,0.05,0,10,0.05,200801,200801
SHFE,AG888,15,1,0.00005,0,1,201205,201205
SHFE,RB888,10,1,0.0001,0,1,200903,200903
SHFE,HC888,10,1,0.0001,0,1,201403,201603
SHFE,RU888,10,5,0.00005,0,5,199311,199311
SHFE,BU888,10,2,0.0001,0,2,201310,201509
SHFE,FU888,10,1,0.00005,0,1,201807,201807
SHFE,SP888,10,2,0.00005,0,2,201811,201811
DCE,A888,10,1,0,2,1,200203,200203
DCE,B888,10,1,0,1,1,200412,201803
DCE,M888,10,1,0,1.5,1,200007,200007
DCE,Y888,10,2,0,2.5,2,200601,200601
DCE,P888,10,2,0,2.5,2,200710,200710
DCE,JM888,60,0.5,0.00006,0,0.5,201303,201303
DCE,J888,100,0.5,0.00006,0,0.5,201104,201209
DCE,I888,100,0.5,0.00006,0,0.5,201310,201310
DCE,RR888,10,1,0,0,1,201908,201908
DCE,EG888,10,1,0,0,1,201904,201904
DCE,C888,10,1,0,1.2,1,200409,201510
DCE,CS888,10,1,0,1.5,1,201412,201510
DCE,L888,5,5,0,2,5,200707,200811
DCE,V888,5,5,0,2,5,200905,201609
DCE,PP888,5,1,0.00006,0,1,201402,201402
DCE,JD888,5,1,0.00015,0,1,201311,201311
CZCE,MA888,10,1,0,2,1,201110,201501
CZCE,TA888,5,2,0,3,2,200612,200612
CZCE,CF888,5,5,0,4.3,5,200406,201408
CZCE,SR888,10,1,0,3,1,200601,200601
CZCE,FG888,20,1,0,3,1,201212,201212
CZCE,ZC888,100,0.2,0,4,0.2,201309,201601
CZCE,OI888,10,1,0,2,1,200706,200706
CZCE,RM888,10,1,0,1.5,1,201212,201212
CZCE,AP888,10,1,0,5,1,201712,201712
CZCE,CJ888,5,5,0,3,5,201904,201904
CZCE,UR888,20,1,0,5,1,201908,201908
CZCE,SF888,5,2,0,3,2,201408,201708
CZCE,SM888,5,2,0,3,2,201408,201703
CFFEX,IF888,300,0.2,0.00003,0,0.2,201004,201004
CFFEX,IH888,300,0.2,0.00003,0,0.2,201504,201504
CFFEX,IC888,200,0.2,0.00003,0,0.2,201504,201504
INE,SC888,1000,0.1,0,0,0.1,201803,201803
